prompt,completion
"What is the weakness of the Guard?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Guard located?","Narshe (Biggs, Wedge, Terra raid) [WoB] Vector (Go to the skinny house to the left of the Inn and say No when the lady asks if you're loyal to the Empire) [WoB]"
"What does the Guard drop?","Potion (1/8)"
"What can be stolen from the Guard?","Potion (7/8), Hi-Potion (1/8)"
"What type of monster is the Guard?","Humanoid"
"What is the special attack of the Guard?","Critical (150% damage)"
"How much HP does the Guard have?","40"
"What rage can be learned from the Guard?","Critical"
"What sketch can be drawn from the Guard?","Attack (Always)"
"What abilities can be used while controlling the Guard?","Attack"
"What is the Silver Lobo known as on the SNES?","Lobo"
"What is the weakness of the Silver Lobo?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Silver Lobo located?","Narshe (Biggs, Wedge, Terra raid) [WoB]"
"What does the Silver Lobo drop?","Potion (1/8)"
"What can be stolen from the Silver Lobo?","Potion (Always)"
"What is the special attack of the Silver Lobo?","Chomp (150% damage)"
"How much HP does the Silver Lobo have?","27"
"What rage can be learned from the Silver Lobo?","Chomp"
"What sketch can be drawn from the Silver Lobo?","Attack (3/4), Chomp (1/4)"
"What abilities can be used while controlling the Silver Lobo?","Attack, Chomp"
"What is the Megalodoth known as on the SNES?","Vomammoth"
"What is the weakness of the Megalodoth?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Megalodoth located?","Narshe (Biggs, Wedge, Terra raid) [WoB]"
"What does the Megalodoth drop?","Hi-Potion (1/8)"
"What can be stolen from the Megalodoth?","Potion (7/8), Hi-Potion (1/8)"
"What is the special attack of the Megalodoth?","Bear Claw (150% damage)"
"What status effects does the Megalodoth resist?","Sleep"
"How much HP does the Megalodoth have?","115"
"What rage can be learned from the Megalodoth?","Snowstorm"
"What sketch can be drawn from the Megalodoth?","Snowstorm (3/4), Bear Claw (1/4)"
"What abilities can be used while controlling the Megalodoth?","Attack, Bear Claw, Snowstorm"
"What is the Wererat known as on the SNES?","Were-Rat"
"What is the weakness of the Wererat?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Wererat located?","Narshe Mines (Biggs/Wedge/Terra raid OR Terra/Edgar/Bannon Scenario) [WoB]"
"What does the Wererat drop?","Potion (1/8)"
"What can be stolen from the Wererat?","Potion (Always)"
"What is the special attack of the Wererat?","Bite (150% damage)"
"What status effects does the Wererat resist?","Darkness, Sleep"
"What status effects does the Wererat absorb?","Poison"
"How much HP does the Wererat have?","24"
"What rage can be learned from the Wererat?","Poison"
"What sketch can be drawn from the Wererat?","Attack (3/4), Bite (1/4)"
"What abilities can be used while controlling the Wererat?","Attack, Bite"
"What is the Spritzer known as on the SNES?","Vaporite"
"What is the weakness of the Spritzer?","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Spritzer located?","Narshe Mines (Biggs/Wedge/Terra raid OR Terra/Edgar/Bannon Scenario) [WoB] Base of Mt. Kolts (After you defeat Vargas, go through the cave and find Spritzer on the final slope) [WoB]"
"What does the Spritzer drop?","Potion (1/8)"
"What can be stolen from the Spritzer?","Potion (Always)"
"What type of monster is the Spritzer?","Undead"
"What is the special attack of the Spritzer?","Cling (inflicts 'Slow')"
"What status effects does the Spritzer resist?","Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk"
"What status effects does the Spritzer absorb?","Lightning"
"How much HP does the Spritzer have?","15"
"What rage can be learned from the Spritzer?","Blaze"
"What sketch can be drawn from the Spritzer?","Attack (3/4), Slow (1/4)"
"What abilities can be used while controlling the Spritzer?","Attack, Slow"
"What is the Bandit known as on the SNES?","Repo Man"
"What is the weakness of the Bandit?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Bandit located?","Narshe Mines (Biggs/Wedge/Terra raid OR Terra/Edgar/Bannon Scenario) [WoB]"
"What does the Bandit drop?","Potion (1/8)"
"What can be stolen from the Bandit?","Potion (Always)"
"What type of monster is the Bandit?","Humanoid"
"What is the special attack of the Bandit?","Wrench (150% damage)"
"How much HP does the Bandit have?","35"
"What rage can be learned from the Bandit?","Self-Destruct"
"What sketch can be drawn from the Bandit?","Flare (3/4), Wrench (1/4)"
"What abilities can be used while controlling the Bandit?","Attack, Wrench, Wrench, Wrench"
"What is the Leaf Bunny known as on the SNES?","Leafer"
"What is the weakness of the Leaf Bunny?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Leaf Bunny located?","Around Narshe (Overworld, Grass/forest) [WoB] Triangle Island (Grass/Forest) [WoB]"
"What does the Leaf Bunny drop?","Potion (1/8)"
"What can be stolen from the Leaf Bunny?","Potion (Always)"
"What is the special attack of the Leaf Bunny?","Incisors (150% damage)"
"What status effects does the Leaf Bunny absorb?","Ice"
"How much HP does the Leaf Bunny have?","33"
"What rage can be learned from the Leaf Bunny?","Incisors"
"What sketch can be drawn from the Leaf Bunny?","Attack (3/4), Incisors (1/4)"
"What abilities can be used while controlling the Leaf Bunny?","Attack, Incisors"
"What is the Darkwind known as on the SNES?","Dark Wind"
"What is the weakness of the Darkwind?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Darkwind located?","Around Narshe (Overworld, Grass/forest) [WoB] Triangle Island (Grass/Forest) [WoB]"
"What can be stolen from the Darkwind?","Potion (Always)"
"What is the special attack of the Darkwind?","Dive (150% damage)"
"What status effects does the Darkwind resist?","Imp"
"How much HP does the Darkwind have?","34"
"What rage can be learned from the Darkwind?","Break"
"What sketch can be drawn from the Darkwind?","Attack (3/4), Dive (1/4)"
"What abilities can be used while controlling the Darkwind?","Attack, Dive"
"What is the weakness of the Sand Ray?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Sand Ray located?","Desert [WoB]"
"What does the Sand Ray drop?","Antidote (1/8)"
"What can be stolen from the Sand Ray?","Antidote (Always)"
"What is the special attack of the Sand Ray?","Tail (150% damage)"
"How much HP does the Sand Ray have?","67"
"What rage can be learned from the Sand Ray?","Tail"
"What sketch can be drawn from the Sand Ray?","Attack (3/4), Tail (1/4)"
"What abilities can be used while controlling the Sand Ray?","Attack, Tail"
"What is the Alacran known as on the SNES?","Areneid"
"What is the weakness of the Alacran?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Alacran located?","Desert [WoB]"
"What does the Alacran drop?","Potion (1/8)"
"What can be stolen from the Alacran?","Potion (7/8)"
"What is the special attack of the Alacran?","Numb (inflicts 'Stop')"
"How much HP does the Alacran have?","87"
"What rage can be learned from the Alacran?","Numb"
"What sketch can be drawn from the Alacran?","Attack (3/4), Numb (1/4)"
"What abilities can be used while controlling the Alacran?","Attack, Numb"
"What is the Foper known as on the SNES?","Bleary"
"What is the weakness of the Foper?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Foper located?","South Figaro Cave (Only before Locke's Scenario) [WoB]"
"What does the Foper drop?","Potion (1/8)"
"What can be stolen from the Foper?","Potion (Always)"
"What is the special attack of the Foper?","Forty Winks (inflicts 'Sleep')"
"How much HP does the Foper have?","119"
"What rage can be learned from the Foper?","Death"
"What sketch can be drawn from the Foper?","Attack (3/4), Forty Winks (1/4)"
"What abilities can be used while controlling the Foper?","Attack, Forty Winks, Dread Gaze"
"What is the weakness of the Hornet?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Hornet located?","South Figaro Cave (Only before Locke's Scenario) [WoB]"
"What can be stolen from the Hornet?","Potion (Always)"
"What is the special attack of the Hornet?","Iron Stinger (150% damage)"
"What status effects does the Hornet resist?","Imp"
"How much HP does the Hornet have?","92"
"What rage can be learned from the Hornet?","Iron Stinger"
"What sketch can be drawn from the Hornet?","Attack (3/4), Iron Stinger (1/4)"
"What abilities can be used while controlling the Hornet?","Attack, Iron Stinger"
"What is the Urok known as on the SNES?","Crawly"
"What is the weakness of the Urok?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Urok located?","South Figaro Cave (Only Before Locke's Scenario) [WoB]"
"What can be stolen from the Urok?","Potion (7/8), Remedy (1/8)"
"What is the special attack of the Urok?","Digestive Fluid (inflicts 'Sap')"
"How much HP does the Urok have?","122"
"What rage can be learned from the Urok?","Digestive Fluid"
"What sketch can be drawn from the Urok?","Attack (3/4), Digestive Fluid (1/4)"
"What abilities can be used while controlling the Urok?","Attack, Digestive Fluid, Magnitude 8"
"What is the Belmodar known as on the SNES?","Rhinotaur"
"What is the weakness of the Belmodar?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep"
"Where is the Belmodar located?","Grass/Forest around South Figaro [WoB] Grass between Mt. Kolts and Returner Hideout [WoB] Grass outside Nikeah [WoB]"
"What does the Belmodar drop?","Hi-Potion (1/8)"
"What can be stolen from the Belmodar?","Potion (7/8), Mythril Claws (1/8)"
"What is the special attack of the Belmodar?","Rush (200% damage)"
"What status effects does the Belmodar resist?","Petrify, Slow, Stop"
"What status effects does the Belmodar absorb?","Lightning"
"How much HP does the Belmodar have?","232"
"What rage can be learned from the Belmodar?","Megavolt"
"What sketch can be drawn from the Belmodar?","Gigavolt (3/4), Megavolt (1/4)"
"What abilities can be used while controlling the Belmodar?","Attack, Megavolt"
"What is the Unseelie known as on the SNES?","GreaseMonk"
"What is the weakness of the Unseelie?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Unseelie located?","Grass/Forest around South Figaro [WoB] Grass between Mt. Kolts and Returner Hideout [WoB] Grass outside Nikeah [WoB]"
"What can be stolen from the Unseelie?","Potion (7/8), Buckler (1/8)"
"What type of monster is the Unseelie?","Humanoid"
"What is the special attack of the Unseelie?","Mythril Wrench (150% damage)"
"How much HP does the Unseelie have?","132"
"What rage can be learned from the Unseelie?","Shell"
"What sketch can be drawn from the Unseelie?","Mythril Wrench (Always)"
"What abilities can be used while controlling the Unseelie?","Attack, Mythril Wrench, Traveler"
"What is the Mu known as on the SNES?","Rhodox"
"What is the weakness of the Mu?","Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Mu located?","Grass/Forest around South Figaro [WoB] Grass between Mt. Kolts and Returner Hideout [WoB] Grass outside Nikeah [WoB]"
"What can be stolen from the Mu?","Antidote (7/8), Potion (1/8)"
"What is the special attack of the Mu?","Maul (500% damage)"
"What status effects does the Mu resist?","Darkness, Silence, Berserk"
"How much HP does the Mu have?","119"
"What rage can be learned from the Mu?","Snare"
"What sketch can be drawn from the Mu?","Snare (3/4), Maul (1/4)"
"What abilities can be used while controlling the Mu?","Attack"
"What is the Zaghrem known as on the SNES?","Brawler"
"What is the weakness of the Zaghrem?","Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Zaghrem located?","Mt. Kolts (Caves) [WoB]"
"What does the Zaghrem drop?","Potion (1/8)"
"What can be stolen from the Zaghrem?","Bandana (1/8)"
"What type of monster is the Zaghrem?","Humanoid"
"What is the special attack of the Zaghrem?","Punch (150% damage)"
"What status effects does the Zaghrem resist?","Poison"
"What status effects does the Zaghrem absorb?","Poison"
"How much HP does the Zaghrem have?","137"
"What rage can be learned from the Zaghrem?","Stone"
"What sketch can be drawn from the Zaghrem?","Attack (3/4), Punch (1/4)"
"What abilities can be used while controlling the Zaghrem?","Attack, Punch"
"What is the Trillium known as on the SNES?","Trilium"
"What is the weakness of the Trillium?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Trillium located?","Mt. Kolts (Slopes) [WoB]"
"What can be stolen from the Trillium?","Potion (7/8), Remedy (1/8)"
"What is the special attack of the Trillium?","Poison Touch (inflicts 'Poison')"
"What status effects does the Trillium resist?","Imp"
"What status effects does the Trillium absorb?","Water"
"How much HP does the Trillium have?","147"
"What rage can be learned from the Trillium?","Bio"
"What sketch can be drawn from the Trillium?","Attack (3/4), Poison Touch (1/4)"
"What abilities can be used while controlling the Trillium?","Attack, Poison Touch"
"What is the Gorgias known as on the SNES?","Tusker"
"What is the weakness of the Gorgias?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Gorgias located?","Mt. Kolts (Caves and Slopes) [WoB]"
"What does the Gorgias drop?","Gold Needle (1/8)"
"What can be stolen from the Gorgias?","Potion (7/8), Hi-Potion (1/8)"
"What is the special attack of the Gorgias?","Gore (200% damage)"
"How much HP does the Gorgias have?","270"
"What rage can be learned from the Gorgias?","Snowstorm"
"What sketch can be drawn from the Gorgias?","Snowstorm (3/4), Gore (1/4)"
"What abilities can be used while controlling the Gorgias?","Attack, Gore"
"What is the weakness of the Cirpius?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Cirpius located?","Mt. Kolts (Slopes) [WoB]"
"What can be stolen from the Cirpius?","Antidote (7/8), Potion (1/8)"
"What is the special attack of the Cirpius?","Beak (inflicts 'Petrify')"
"What status effects does the Cirpius resist?","Imp"
"How much HP does the Cirpius have?","134"
"What rage can be learned from the Cirpius?","Hastega"
"What sketch can be drawn from the Cirpius?","Attack (3/4), Beak (1/4)"
"What abilities can be used while controlling the Cirpius?","Attack, Beak, Break"
"What is the Lesser Lopros known as on the SNES?","Pterodon"
"What is the weakness of the Lesser Lopros?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Lesser Lopros located?","Lethe River [WoB]"
"What does the Lesser Lopros drop?","Hi-Potion (1/8)"
"What can be stolen from the Lesser Lopros?","Mythril Knife (7/8), Main Gauche (1/8)"
"What is the special attack of the Lesser Lopros?","Wing (inflicts 'Sap')"
"What status effects does the Lesser Lopros resist?","Imp"
"How much HP does the Lesser Lopros have?","380"
"What rage can be learned from the Lesser Lopros?","Fireball"
"What sketch can be drawn from the Lesser Lopros?","Fireball (3/4), Wing (1/4)"
"What abilities can be used while controlling the Lesser Lopros?","Attack, Wing, Fireball"
"What is the weakness of the Nautiloid?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Nautiloid located?","Lethe River [WoB]"
"What does the Nautiloid drop?","Eye Drops (1/8)"
"What can be stolen from the Nautiloid?","Potion (7/8), Hi-Potion (1/8)"
"What is the special attack of the Nautiloid?","Ink (inflicts 'Darkness')"
"What status effects does the Nautiloid resist?","Imp"
"What status effects does the Nautiloid absorb?","Water"
"How much HP does the Nautiloid have?","236"
"What rage can be learned from the Nautiloid?","Ink"
"What sketch can be drawn from the Nautiloid?","Attack (3/4), Ink (1/4)"
"What abilities can be used while controlling the Nautiloid?","Attack, Ink"
"What is the weakness of the Exocite?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Exocite located?","Lethe River [WoB]"
"What does the Exocite drop?","Potion (1/8)"
"What can be stolen from the Exocite?","Potion (7/8), Mythril Claws (1/8)"
"What is the special attack of the Exocite?","Pincer (150% damage)"
"What status effects does the Exocite resist?","Darkness, Imp"
"What status effects does the Exocite absorb?","Water"
"How much HP does the Exocite have?","196"
"What rage can be learned from the Exocite?","Pincer"
"What sketch can be drawn from the Exocite?","Attack (3/4), Pincer (1/4)"
"What abilities can be used while controlling the Exocite?","Attack, Pincer"
"What is the Heavy Armor known as on the SNES?","HeavyArmor"
"What is the weakness of the Heavy Armor?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Heavy Armor located?","South Figaro (Locke's scenario; not recommended, very difficult) [WoB] Narshe Cliffs (While protecting Bannon from Kefka) [WoB]"
"What can be stolen from the Heavy Armor?","Potion (7/8), Iron Helm (1/8)"
"What is the special attack of the Heavy Armor?","Metal Knuckles (150% damage)"
"What status effects does the Heavy Armor resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Heavy Armor have?","495"
"What rage can be learned from the Heavy Armor?","Magitek Laser"
"What sketch can be drawn from the Heavy Armor?","Magitek Laser (3/4), Metal Knuckles (1/4)"
"What abilities can be used while controlling the Heavy Armor?","Attack, Metal Knuckles, Magitek Laser"
"What is the weakness of the Commander?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Commander located?","Hidden passage revealed in Locke's Scenario while trying to get out of South Figaro [WoB & WoR]"
"What can be stolen from the Commander?","Potion (Always)"
"What type of monster is the Commander?","Humanoid"
"What is the special attack of the Commander?","Desperate Strike (200% damage)"
"How much HP does the Commander have?","102"
"What rage can be learned from the Commander?","Break"
"What sketch can be drawn from the Commander?","Attack (3/4), Fire (1/4)"
"What abilities can be used while controlling the Commander?","Attack, Fire"
"What is the Vector Hound known as on the SNES?","Vector Pup"
"What is the weakness of the Vector Hound?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Vector Hound located?","Hidden passage revealed in Locke's Scenario while trying to get out of South Figaro [WoB & WoR]"
"What can be stolen from the Vector Hound?","Potion (Always)"
"What is the special attack of the Vector Hound?","Bite (150% damage)"
"How much HP does the Vector Hound have?","166"
"What rage can be learned from the Vector Hound?","Bite"
"What sketch can be drawn from the Vector Hound?","Attack (3/4), Bite (1/4)"
"What abilities can be used while controlling the Vector Hound?","Attack, Bite"
"What is the Cartagra known as on the SNES?","Trilobiter"
"What is the weakness of the Cartagra?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Cartagra located?","South Figaro Cave (Locke's Scenario) [WoB]"
"What can be stolen from the Cartagra?","Antidote (7/8), Potion (1/8)"
"What is the special attack of the Cartagra?","Poison Barb (inflicts 'Poison')"
"What status effects does the Cartagra resist?","Imp"
"How much HP does the Cartagra have?","150"
"What rage can be learned from the Cartagra?","Poison Barb"
"What sketch can be drawn from the Cartagra?","Attack (3/4), Poison Barb (1/4)"
"What abilities can be used while controlling the Cartagra?","Attack, Poison Barb, Poison"
"What is the Acrophies known as on the SNES?","Primordite"
"What is the weakness of the Acrophies?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Acrophies located?","South Figaro Cave (Locke's Scenario) [WoB]"
"What can be stolen from the Acrophies?","Eye Drops (7/8), Potion (1/8)"
"What is the special attack of the Acrophies?","Numbclaw (inflicts 'Stop')"
"What status effects does the Acrophies resist?","Imp"
"How much HP does the Acrophies have?","145"
"What rage can be learned from the Acrophies?","Numbclaw"
"What sketch can be drawn from the Acrophies?","Attack (3/4), Numbclaw (1/4)"
"What abilities can be used while controlling the Acrophies?","Attack, Numbclaw"
"What is the weakness of the Gold Bear?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Gold Bear located?","South Figaro Cave (Locke's Scenario) [WoB]"
"What does the Gold Bear drop?","Hi-Potion (1/8)"
"What can be stolen from the Gold Bear?","Potion (7/8), Hi-Potion (1/8)"
"What is the special attack of the Gold Bear?","Gouge (250% damage)"
"How much HP does the Gold Bear have?","275"
"What rage can be learned from the Gold Bear?","Gouge"
"What sketch can be drawn from the Gold Bear?","Attack (3/4), Gouge (1/4)"
"What abilities can be used while controlling the Gold Bear?","Attack, Gouge"
"What is the Valeor known as on the SNES?","1st Class"
"What is the weakness of the Valeor?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Valeor located?","Narshe Mines (Terra/Edgar/Banon Scenario) [WoB]"
"What can be stolen from the Valeor?","Potion (Always)"
"What type of monster is the Valeor?","Humanoid"
"What is the special attack of the Valeor?","Nickel Wrench (150% damage)"
"How much HP does the Valeor have?","180"
"What rage can be learned from the Valeor?","Stone"
"What sketch can be drawn from the Valeor?","Attack (3/4), Nickel Wrench (1/4)"
"What abilities can be used while controlling the Valeor?","Attack, Nickel Wrench"
"What is the weakness of the Wild Rat?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Wild Rat located?","Narshe Mines (Terra/Edgar/Banon Scenario) [WoB]"
"What can be stolen from the Wild Rat?","Potion (Always)"
"What is the special attack of the Wild Rat?","Scratch (150% damage)"
"What status effects does the Wild Rat absorb?","Poison"
"How much HP does the Wild Rat have?","160"
"What rage can be learned from the Wild Rat?","Scratch"
"What sketch can be drawn from the Wild Rat?","Attack (3/4), Scratch (1/4)"
"What abilities can be used while controlling the Wild Rat?","Attack, Scratch"
"What is the weakness of the Stray Cat?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Stray Cat located?","Overworld (Sabin's Scenario) [Forest] [WoB] Overworld (Area West of Veldt) [Grass]"
"What does the Stray Cat drop?","Potion (1/8)"
"What can be stolen from the Stray Cat?","Hi-Potion (1/8)"
"What is the special attack of the Stray Cat?","Cat Scratch (400% damage)"
"How much HP does the Stray Cat have?","156"
"What rage can be learned from the Stray Cat?","Cat Scratch"
"What sketch can be drawn from the Stray Cat?","Blaster (3/4), Cat Scratch (1/4)"
"What abilities can be used while controlling the Stray Cat?","Attack, Cat Scratch"
"What is the Aepyornis known as on the SNES?","Beakor"
"What is the weakness of the Aepyornis?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Aepyornis located?","Overworld (Sabin's Scenario) [Grass] [WoB] Overworld (Area West of Veldt) [Grass]"
"What does the Aepyornis drop?","Hi-Potion (1/8)"
"What can be stolen from the Aepyornis?","Eye Drops (7/8), Hi-Potion (1/8)"
"What is the special attack of the Aepyornis?","Featherdust (inflicts 'Poison')"
"What status effects does the Aepyornis resist?","Imp"
"How much HP does the Aepyornis have?","290"
"What rage can be learned from the Aepyornis?","Featherdust"
